,acwi_monthly_return,usd_pln,edo_reference_monthly_return,cpi_prev_year_100,avg_gross_wage_pln
1997-08,-0.0701618660247364,3.472,,114.9,1061.93
1997-09,0.05333090514347738,3.4205,,114.9,1061.93
1997-10,-0.059543221720868345,3.489,,114.9,1061.93
1997-11,0.01529837968386727,3.539,,114.9,1061.93
1997-12,0.013129351449802984,3.518,,114.9,1061.93
1998-01,0.022014529168725483,3.542,,111.8,1239.49
1998-02,0.06840991774076843,3.479,0.019445966961257444,111.8,1239.49
1998-03,0.042668249943836445,3.4485,0.019445966961257444,111.8,1239.49
1998-04,0.009372547209012483,3.398,0.018769265121506118,111.8,1239.49
1998-05,-0.018973561430793096,3.488,0.017744849287870457,111.8,1239.49
1998-06,0.018016337797008397,3.4825,0.017744849287870457,111.8,1239.49
1998-07,0.00032671356685742836,3.4345,0.016011867773387367,111.8,1239.49
1998-08,-0.1401021333227519,3.74,0.016011867773387367,111.8,1239.49
1998-09,0.019892656329868696,3.579,0.015309470499731193,111.8,1239.49
1998-10,0.09132801514708544,3.446,0.014601687054440093,111.8,1239.49
1998-11,0.06071004860375839,3.4875,0.014601687054440093,111.8,1239.49
1998-12,0.04644128541877146,3.504,0.013529721718319232,111.8,1239.49
1999-01,0.020437423499732654,3.659,0.01171491691985338,107.3,1706.74
1999-02,-0.02513297160925909,3.94,0.01171491691985338,107.3,1706.74
1999-03,0.044979420896815725,4.01,0.01171491691985338,107.3,1706.74
1999-04,0.04320366613414106,3.954,0.01171491691985338,107.3,1706.74
1999-05,-0.035336447384806235,3.9705,0.01171491691985338,107.3,1706.74
1999-06,0.04978686705557944,3.9297,0.01171491691985338,107.3,1706.74
1999-07,-0.004086662358490978,3.86,0.01171491691985338,107.3,1706.74
1999-08,-0.0012005558810161965,3.981,0.01171491691985338,107.3,1706.74
1999-09,-0.01078116780641769,4.1141,0.012445137919713467,107.3,1706.74
1999-10,0.050645970098457616,4.2029,0.012445137919713467,107.3,1706.74
1999-11,0.031071823539980947,4.2903,0.014245748385667056,107.3,1706.74
1999-12,0.08330817545228975,4.1483,0.014245748385667056,107.3,1706.74
2000-01,-0.05394352571204597,4.2076,0.014245748385667056,110.1,1923.81
2000-02,0.0033959191493437846,4.1531,0.014956257441789633,110.1,1923.81
2000-03,0.06573853519755213,4.1428,0.014956257441789633,110.1,1923.81
2000-04,-0.044855673081445224,4.4234,0.014956257441789633,110.1,1923.81
2000-05,-0.025951248792474346,4.3914,0.014956257441789633,110.1,1923.81
2000-06,0.03389548990910485,4.3907,0.014956257441789633,110.1,1923.81
2000-07,-0.029371020127821557,4.3388,0.014956257441789633,110.1,1923.81
2000-08,0.031087337187267527,4.3812,0.016011867773387367,110.1,1923.81
2000-09,-0.054923810631615666,4.5404,0.016011867773387367,110.1,1923.81
2000-10,-0.019564741126572582,4.6845,0.016011867773387367,110.1,1923.81
2000-11,-0.06195187964639093,4.4735,0.016011867773387367,110.1,1923.81
2000-12,0.01670422731238852,4.1432,0.016011867773387367,110.1,1923.81
2001-01,0.025283065558536322,4.0879,0.016011867773387367,105.5,2061.85
2001-02,-0.08413892975712711,4.0749,0.016011867773387367,105.5,2061.85
2001-03,-0.06731540199723007,4.1,0.014601687054440093,105.5,2061.85
2001-04,0.07283810714704386,3.9761,0.014601687054440093,105.5,2061.85
2001-05,-0.011148312623453838,4.0083,0.014601687054440093,105.5,2061.85
2001-06,-0.030637282680145872,3.9871,0.013529721718319232,105.5,2061.85
2001-07,-0.015760413652399996,4.2384,0.013529721718319232,105.5,2061.85
2001-08,-0.045956564735649685,4.2336,0.012808087081983555,105.5,2061.85
2001-09,-0.09134459745498902,4.2367,0.012808087081983555,105.5,2061.85
2001-10,0.02124962745494363,4.0987,0.01171491691985338,105.5,2061.85
2001-11,0.06149996310136374,4.0874,0.010608597246586804,105.5,2061.85
2001-12,0.009372787946202887,3.9863,0.010608597246586804,105.5,2061.85
2002-01,-0.02740017657334992,4.1637,0.009488792934583046,101.9,2133.21
2002-02,-0.0073456039039213605,4.2046,0.009488792934583046,101.9,2133.21
2002-03,0.04515857059472084,4.1321,0.009488792934583046,101.9,2133.21
2002-04,-0.03167176534101135,3.9802,0.009112468436904608,101.9,2133.21
2002-05,0.0014130177059770155,4.0311,0.008734593823551906,101.9,2133.21
2002-06,-0.06102598395720227,4.0418,0.008355155683635207,101.9,2133.21
2002-07,-0.08386320732214292,4.1685,0.008355155683635207,101.9,2133.21
2002-08,0.002585036543861996,4.142,0.007974140428903764,101.9,2133.21
2002-09,-0.10968280467445746,4.1482,0.007591534290582569,101.9,2133.21
2002-10,0.07363793570431487,4.0324,0.007207323316136716,101.9,2133.21
2002-11,0.054700629130976175,4.0078,0.007014611604140075,101.9,2133.21
2002-12,-0.04767599751242846,3.8388,0.007014611604140075,101.9,2133.21
2003-01,-0.02918526246643094,3.8173,0.006821493365962272,100.8,2201.47
2003-02,-0.017524936117368828,3.9135,0.006627966804368057,100.8,2201.47
2003-03,-0.0037797916860788927,4.0512,0.00643403011000343,100.8,2201.47
2003-04,0.08930241637048297,3.8406,0.006239681461285729,100.8,2201.47
2003-05,0.05819327574234889,3.7109,0.006044919024291717,100.8,2201.47
